,Unnamed: 0,numChapter,Chapter,numSubChapter,subChapter,Type,numSubTitle,subTitle,content,Ref,PMI_content,PMI_chapter,PMI_subtitle
10,10,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.2 Project documents,11.2.1,project docum ents project documents considered inputs process include limited uuassumption log described section assumptions constraints recorded assumption log may give rise individual project risks may also inﬂuence level overall project risk uucost estimates described section cost estimates provide quantitative assessments project costs ideally expressed range indicating degree risk structured review documents may indicate current estimate insufﬁcient poses risk project uuduration estimates described section duration estimates provide quantitative assessments project durations ideally expressed range indicating degree risk structured review documents may indicate current estimate insufﬁcient poses risk project uuissue log described section issues recorded issue log may give rise individual project risks may also inﬂuence level overall project risk uulessons learned register described section lessons learned risk identiﬁed earlier phases project reviewed determine whether similar risks might recur remainder project uurequirements documentation described section requirements documentation lists project requirements allows team identify could riskuuresource requirements described section resource requirements provide quantitative assessments project resource requirements ideally expressed range indicating degree risk structured review documents may indicate current estimate insufﬁcient poses risk project uustakeholder register described section stakeholder register indicates individuals groups might participate identifying risks project also details individuals available act risk owners,"['Section 4.1.3.2.', 'Section 7.2.3.1.', 'Section 6.4.3.1.', 'Section 4.3.3.3.', 'Section 4.4.3.1.', 'Section 5.2.3.1.', 'Section 9.2.3.1.', 'Section 13.1.3.1']",purpose objectives perform qualitative risk analysis process perform qualitative risk analysis process assesses evaluates characteristics individually identiﬁ ed project risks prioritizes risks based agreedupon characteristics assessing individual risks using qualitative risk analysis evaluates probability risk occur effect individual risk project objectives directly address overall risk project objectives results combined effect risks potential interactions however achieved use quantitative risk analysis techniques see chapter one step analysis categorize risks according sources causes several risks arise common source sometimes called root cause risk responses may effective focus addressing root cause identifying common effects groups risks allows identiﬁ cation areas greatest risk exposure eg project completion date budget particular deliverables scope facilitating risk response focus areas methods qualitative risk analysis applied list risks created updated identify risks process provide project management characteristics risks inﬂ uence positive negative achieving projects objectives risks assessed high priority either threaten enhance achievement project objectives important focus plan risk responses process may analyzed analysis overall project risk discussed perform quantitative risk analysis process critical success factors perform qualitative risk analysis process,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process
11,11,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.3 Agreements,11.2.1,agreem ents described section project requires external procurement resources agreements may information milestone dates contract type acceptance criteria awards penalties present threats opportunities,['Section 12.2.3.2'],add corresponding risk responses project management plan developing detailed set risk responses projectrelated implications evaluated inclusion modiﬁ ed project management plan include costs resource assignments scheduling details changes project documentation changes formally approved along additional risks may carry risk response planning cannot considered complete review document predicted exposure,CHAPTER 8  -  PLAN RISK RESPONSES,8.5.2 Add Corresponding Risk Responses to the Project Management Plan
12,12,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.4 Procurement documentation,11.2.1,proc urem ent docum enta tion described section project requires external procurement resources initial procurement documentation reviewed procuring goods services outside organization may increase decrease overall project risk may introduce additional individual project risks procurement documentation updated throughout project date documentation reviewed risks example seller performance reports approved change requests information inspections,['Section 12.3.1.4'],add corresponding risk responses project management plan developing detailed set risk responses projectrelated implications evaluated inclusion modiﬁ ed project management plan include costs resource assignments scheduling details changes project documentation changes formally approved along additional risks may carry risk response planning cannot considered complete review document predicted exposure,CHAPTER 8  -  PLAN RISK RESPONSES,8.5.2 Add Corresponding Risk Responses to the Project Management Plan
13,13,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.5 Enterprise environmental factors,11.2.1,enterpr ise environm ental factors enterprise environmental factors inﬂuence identify risks process include limited uupublished material including commercial risk databases checklists uuacademic studies uubenchmarking results uuindustry studies similar projects,[],collect analyze data assessment individual risks based information collected therefore data collection evaluation tools including interviews workshops references databases prior projects require management support attention important protect bias data gathering important relying expert judgment information prioritize risks probability impact speciﬁ c objectives,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.2 Collect and Analyze Data
14,14,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.6 Organizational process assets,11.2.1,organizational proce ss asse ts organizational process assets inﬂuence identify risks process include limited uuproject ﬁles including actual data uuorganizational project process controls uurisk statement formats uuchecklists previous similar projects part guide identify risks ls tec hniques,[],prioritize risks probability impact overall project reasons constructing measure speciﬁ c risks importance entire project contrasted importance speciﬁ c objectives common reason ease communication management stakeholders single risk prioritization index needed organization explicit index created usually index reﬂ ects organizations preference among objectives technique creating overall risk priority measure documented plan risk management process chapter perform qualitative risk analysis categorize risk causes,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.4 Prioritize Risks by Probability and Impact on Overall Project
15,15,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.1 Expert judgment,11.2.2,exper judgment described section expertise considered individuals groups specialized knowledge similar projects business areas experts identiﬁed project manager invited consider aspects individual project risks well sources overall project risk based previous experience areas expertise experts bias taken account process,['Section 4.1.2.1.'],multiple perspectives identify risks process take input broad range project stakeholders ensure perspectives represented considered limiting risk identiﬁ cation immediate project team unlikely expose knowable risks risks linked project objectives,CHAPTER 5  -  IDENTIFY RISKS,5.2.6 Multiple Perspectives
16,16,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.2 Data gathering,11.2.2,data ga thering datagathering techniques used process include limited uubrainstorming goal brainstorming see section obtain comprehensive list individual project risks sources overall project risk project team usually performs brainstorming often multidisciplinary set experts part team ideas generated guidance facilitator either freeform brainstorm session one uses structured techniques categories risk risk breakdown structure used framework particular attention paid ensuring risks identiﬁed brainstorming clearly described since technique result ideas fully formed uuchecklists checklist list items actions points considered often used reminder risk checklists developed based historical information knowledge accumulated similar projects sources information effective way capture lessons learned similar completed projects listing speciﬁc individual project risks occurred previously may relevant project organization may maintain risk checklist based completed projects may use generic risk checklists industry checklist may quick simple use impossible build exhaustive one care taken ensure checklist used avoid effort proper risk identiﬁcation project team also explore items appear checklist additionally checklist reviewed time time update new information well remove archive obsolete information uuinterviews individual project risks sources overall project risk identiﬁed interviewing experienced project participants stakeholders subject matter experts interviews see section conducted environment trust conﬁdentiality encourage honest unbiased contributions,"['Section 4.1.2.2)', 'Section 5.2.2.2)']",creativity techniques wide range creativity techniques used risk identiﬁ cation encourages project stakeholders use imagination ﬁ nd risks might affect project outcomes effectiveness techniques depend ability participants think creatively techniques used either singly groups employ varying degrees structure techniques depend ability participants think creatively success enhanced use skilled facilitator category risk identiﬁ cation technique strengths weaknesses single technique expected reveal knowable risks consequently identify risks process particular project use combination techniques perhaps selecting one category example project may choose use risk identiﬁ cation checklist historical review together assumptions analysis current assessment brainstorming creativity use risk breakdown structure organizes categories potential risks project prompt list set generic list categories may assist ensuring many sources risk practicable addressed recognizing tools complete replace original thinking chapter identify risks whichever risk identiﬁ cation techniques used important identiﬁ ed risks unambiguously described order ensure project risk process focused actual risks distracted diluted nonrisks use structured risk descriptions ensure clarity risk metalanguage offers useful way distinguishing risk causes effects describing risk using threepart statements form result cause risk may occur would lead effect relationship cause risk effect shown figure figure cause risk effect documenting results identify risks process,CHAPTER 5  -  IDENTIFY RISKS,5.3.3 Creativity Techniques
17,17,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.3 Data analysis,11.2.2,data analy sis data analysis techniques used process include limited uuroot cause analysis root cause analysis see section typically used discover underlying causes lead problem develop preventive action used identify threats starting problem statement example project might delayed budget exploring threats might result problem occurring technique used ﬁnd opportunities starting beneﬁt statement example early delivery budget exploring opportunities might result beneﬁt realized uuassumption constraint analysis every project project management plan conceived developed based set assumptions within series constraints often already incorporated scope baseline project estimates assumption constraint analysis explores validity assumptions constraints determine pose risk project threats may identiﬁed inaccuracy instability inconsistency incompleteness assumptions constraints may give rise opportunities removing relaxing limiting factor affects execution project process uuswot analysis technique examines project strengths weaknesses opportunities threats swot perspectives risk identiﬁcation used increase breadth identiﬁed risks including internally generated risks technique starts identiﬁcation strengths weaknesses organization focusing either project organization business area general swot analysis identiﬁes opportunities project may arise strengths threats resulting weaknesses analysis also examines degree organizational strengths may offset threats determines weaknesses might hinder opportunities uudocument analysis described section risks may identiﬁed structured review project documents including limited plans assumptions constraints previous project ﬁles contracts agreements technical documentation uncertainty ambiguity project documents well inconsistencies within document different documents may indicators risk project part guide,"['Section 8.2.2.2)', 'Section 5.2.2.3.']",creativity techniques wide range creativity techniques used risk identiﬁ cation encourages project stakeholders use imagination ﬁ nd risks might affect project outcomes effectiveness techniques depend ability participants think creatively techniques used either singly groups employ varying degrees structure techniques depend ability participants think creatively success enhanced use skilled facilitator category risk identiﬁ cation technique strengths weaknesses single technique expected reveal knowable risks consequently identify risks process particular project use combination techniques perhaps selecting one category example project may choose use risk identiﬁ cation checklist historical review together assumptions analysis current assessment brainstorming creativity use risk breakdown structure organizes categories potential risks project prompt list set generic list categories may assist ensuring many sources risk practicable addressed recognizing tools complete replace original thinking chapter identify risks whichever risk identiﬁ cation techniques used important identiﬁ ed risks unambiguously described order ensure project risk process focused actual risks distracted diluted nonrisks use structured risk descriptions ensure clarity risk metalanguage offers useful way distinguishing risk causes effects describing risk using threepart statements form result cause risk may occur would lead effect relationship cause risk effect shown figure figure cause risk effect documenting results identify risks process,CHAPTER 5  -  IDENTIFY RISKS,5.3.3 Creativity Techniques
18,18,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.4 Interpersonal and team skills,11.2.2,int erpersonal team kills interpersonal team skills used process includes limited facilitation see section facilitation improves effectiveness many techniques used identify individual project risks sources overall project risk skilled facilitator help participants remain focused risk identiﬁcation task follow method associated technique accurately ensure clear risk descriptions identify overcome sources bias resolve disagreements may arise,[],planning sessions planning sessions recommended order build common understanding projects risk approach project stakeholders gain agreement techniques used managing risk elaboration risk management plan often serves develop effective means team work together since similar consultative team approach used subsequent stages risk management process participants include project manager selected project team members stakeholders members broader organization responsibility risk subject matter experts facilitators needed point initial risk responsibilities methodology templates terms deﬁ nitions time schedules cost budgets project risk management processes assigned accepted speciﬁ cation tools used subsequent processes include parameters inputs required ensure applicability speciﬁ c project documented risk management plan formally approved principal deliverable plan risk management process chapter plan risk management templates,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.1 Planning Sessions
19,19,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.5 Prompt lists,11.2.2,prompt l ists prompt list predetermined list risk categories might give rise individual project risks could also act sources overall project risk prompt list used framework aid project team idea generation using risk identiﬁcation techniques risk categories lowest level risk breakdown structure used prompt list individual project risks common strategic frameworks suitable identifying sources overall project risk example pestle political economic social technological legal environmental tecop technical environmental commercial operational political vuca volatility uncertainty complexity ambiguity,[],prioritize risks probability impact overall project reasons constructing measure speciﬁ c risks importance entire project contrasted importance speciﬁ c objectives common reason ease communication management stakeholders single risk prioritization index needed organization explicit index created usually index reﬂ ects organizations preference among objectives technique creating overall risk priority measure documented plan risk management process chapter perform qualitative risk analysis categorize risk causes,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.4 Prioritize Risks by Probability and Impact on Overall Project
20,20,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.6 Meetings,11.2.2,meetin gs undertake risk identiﬁcation project team may conduct specialized meeting often called risk workshop risk workshops include form brainstorming see section risk identiﬁcation techniques may included depending level risk process deﬁned risk management plan use skilled facilitator increase effectiveness meeting also essential ensure right people participate risk workshop larger projects may appropriate invite project sponsor subject matter experts sellers representatives customer project stakeholders risk workshops smaller projects may restricted subset project team identify risks outputs,['Section 4.1.2.2)'],planning sessions planning sessions recommended order build common understanding projects risk approach project stakeholders gain agreement techniques used managing risk elaboration risk management plan often serves develop effective means team work together since similar consultative team approach used subsequent stages risk management process participants include project manager selected project team members stakeholders members broader organization responsibility risk subject matter experts facilitators needed point initial risk responsibilities methodology templates terms deﬁ nitions time schedules cost budgets project risk management processes assigned accepted speciﬁ cation tools used subsequent processes include parameters inputs required ensure applicability speciﬁ c project documented risk management plan formally approved principal deliverable plan risk management process chapter plan risk management templates,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.1 Planning Sessions
