,numChapter,Chapter,numSubChapter,subTitle,content,Ref
10,2,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.5 ,2.5 Iterative Process,"['2.5 Iterative Process It is the nature of projects that circumstances change as they are being planned and executed. The amount of information available about risks will usually increase as time goes on. Some risks will occur while others will not, new risks will arise or be discovered, and the characteristics of those already identiﬁ ed may change. As a result, the Project Risk Management processes should be repeated and the corresponding plans progressively elaborated throughout the lifetime of the project. To ensure that Project Risk Management remains effective, the identiﬁ cation and analysis of risks should be revisited periodically, the progress on risk response actions should be monitored, and the action plans adjusted accordingly. If external circumstances change signiﬁ cantly, it may also be necessary to revisit the risk management planning process. The development of an initial risk management plan and risk assessment is the start of the process, not the end. The frequency and depth of reviews and updates will depend on the nature of the project, the volatility of the environment in which the project is being implemented, and the timing of other project management reviews and updates. 2.6 Communication']",[]
11,2,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.6 ,2.6 Communication,['2.6 Communication Project Risk Management cannot take place in isolation. Success relies heavily on communication throughout the process. Risk identiﬁ cation and analysis depend on comprehensive input from stakeholders in a project to ensure that nothing signiﬁ cant is overlooked and that risks are realistically assessed. The credibility of the process and the commitment of those who should act to manage risks can be assured only if the way the process operates and the conclusions it produces are understood and seen as credible by all concerned. This demands effective and honest communication from the Project Risk Management process to the rest of the project team and other project stakeholders. Communication of the results of the Project Risk Management process should be targeted to meet the speciﬁ c needs of each stakeholder and should be reﬂ ected within the overall project communications strategy with each stakeholder’s responsibility and role in risk management identiﬁ ed and agreed-upon.122 CHAPTER 2 − PRINCIPLES AND CONCEPTS 2.7 Responsibility for Project Risk Management'],[]
12,2,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.7 ,2.7 Responsibility for Project Risk Management,"['2.7 Responsibility for Project Risk Management It may be considered simplistic to say “risk management is everyone’s responsibility” as previously stated. However it is important that management of project risk is not left to a few risk specialists. Project Risk Management should be included as an integral part of all other project processes. Since project risks can affect project objectives, anyone with an interest in achieving those objectives should play a role in Project Risk Management. The speciﬁ c roles depend on the project team members’ and other stakeholders’ place within the project and their relation to project objectives. Roles and responsibilities for Project Risk Management should be clearly deﬁ ned and communicated, and individuals should be held responsible and accountable for results. This includes allocating responsibility for speciﬁ c activities within the risk process, as well as for resulting actions required to implement agreed-upon responses. Responsibility should also be allocated for ensuring that risk-related lessons are captured for future use. 2.8 Project Manager’s Role for Project Risk Management']",[]
13,2,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.8 ,2.8 Project Manager’s Role for Project Risk Management,"['2.8 Project Manager’s Role for Project Risk Management The project manager has particular responsibilities in relation to the Project Risk Management process. The project manager has overall responsibility for delivering a successful project which fully meets the deﬁ ned objectives. The project manager is accountable for the day-to-day management of the project, including effective risk management. The role of the project manager may include: Encouraging senior management support for Project Risk Management activities. \x81 Determining the acceptable levels of risk for the project in consultation with stakeholders. \x81 Developing and approving the risk management plan. \x81 Promoting the Project Risk Management process for the project. \x81 Facilitating open and honest communication about risk within the project team and with \x81 management and other stakeholders. Participating in all aspects of the Project Risk Management process. \x81 Approving risk responses and associated actions prior to implementation. \x81 Applying project contingency funds to deal with identiﬁ ed risks that occur during the project. \x81 Overseeing risk management by subcontractors and suppliers. \x81 Regularly reporting risk status to key stakeholders, with recommendations for appropriate strategic \x81 decisions and actions to maintain acceptable risk exposure. Escalating identiﬁ ed risks to senior management where appropriate: such risks include any which are \x81 outside the authority or control of the project manager, any which require input or action from outside the project, and any for which the release of management reserve funds might be appropriate. Monitoring the efﬁ ciency and effectiveness of the Project Risk Management process. \x81 Auditing risk responses for their effectiveness and documenting lessons learned. \x81133 CHAPTER']",[]
14,3,CHAPTER 3  -  INTRODUCTION TO PROJECT RISK MANAGEMENT PROCESSES,3.1 ,3.1 Project Risk Management and Project Management,"['3.1 Project Risk Management and Project Management All projects are uncertain. Uncertainty is inevitable since projects are unique and temporary undertakings based on assumptions and constraints, delivering project results to multiple stakeholders with different requirements. Project management can be seen as an attempt to control this uncertain environment, through the use of structured and disciplined techniques such as estimating, planning, cost control, task allocation, earned value analysis, monitoring and review meetings, etc. Each of these elements of project management has a role in deﬁ ning or controlling the uncertainty which is inherent in all projects. Project Risk Management provides an approach by which uncertainty can be understood, assessed, and managed within projects. As such it forms an integral part of project management, and effective Project Risk Management is a critical success factor for project success. For project management to be fully effective, however, it is important that Project Risk Management is not viewed as an optional process or performed as an additional overhead task. Since many elements of project management address inherent uncertainty, the interface between structured Project Risk Management and the other processes of project management needs to be clear. The outputs of Project Risk Management should be taken into account within many of the project management processes. They can, for example, impact: Estimating resource requirements, cost, or duration; • Assessing the impact of proposed scope changes; • Planning or re-planning the forward strategy of the project; • Allocating resources to tasks; and • Reporting progress to stakeholders. • None of these actions can be performed properly without a clear view of the risk involved, as determined during the Project Risk Management process. In other words, project management process effectiveness is increased by using the information and results from Project Risk Management. In addition, effective Project Risk Management requires input from other project management processes. Outputs such as the work breakdown structure (WBS), estimates, the project schedule, assumptions list, etc. are all important prerequisites for effective Project Risk Management.143 CHAPTER 3 − INTRODUCTION TO PROJECT RISK MANAGEMENT PROCESSES 3.2 Project Risk Management Processes']",[]
15,3,CHAPTER 3  -  INTRODUCTION TO PROJECT RISK MANAGEMENT PROCESSES,3.2 ,3.2 Project Risk Management Processes,"['3.2 Project Risk Management Processes The deﬁ ned steps of Project Risk Management describe a structured approach for understanding and managing risk on a project. This chapter outlines the steps required for effective Project Risk Management. Each step is described in more detail in subsequent chapters. As previously deﬁ ned, project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on a project’s objectives. From this deﬁ nition, it is clear that risks only exist in relation to objectives. It is therefore essential at the start of the Project Risk Management process to clearly deﬁ ne the objectives. It is also clear that different projects are exposed to different levels of risk, so each step in the Project Risk Management process should be scalable to meet the varying degrees of risk. Scalable elements of the process include: Available resources, • Methodology and processes used, • Tools and techniques used, • Supporting infrastructure, • Review and update frequency, and • Reporting requirements. • As a precondition for a successful Project Risk Management implementation, it is important to have a clear understanding of the risk thresholds that deﬁ ne the key stakeholders’ views on acceptable levels of risk, as well as a framework against which identiﬁ ed risks can be assessed. As a result, the Project Risk Management process always starts with an initiation step. This is required in order to ensure a common understanding and agreement of the team and other stakeholders on the approach and parameters that will be applied in managing risk in this project, as well as the scope and objectives of the Project Risk Management process itself. Project Risk Management activities, resources, and attention should be appropriate to the project since different projects warrant different levels of risk management application. The main actions to provide the required tailoring are as follows: Deﬁ ne those objectives against which risks will be identiﬁ ed, • Deﬁ ne how the elements of the Project Risk Management process will be scaled for this • project, and Deﬁ ne risk thresholds, tolerances, and the assessment framework. • The outputs from this initial step should be documented, communicated, and then reviewed by the stakeholders to ensure a common understanding of the scope and objectives for the Project Risk Management process. The document should be formally approved at a senior level.153 CHAPTER']",[]
16,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.1 ,4.1 Purpose and Objectives of the Plan Risk Management Process,"['4.1 Purpose and Objectives of the Plan Risk Management Process The objectives of the Plan Risk Management process are to develop the overall risk management strategy for the project, to decide how the risk management processes will be executed, and to integrate Project Risk Management with all other project management activities. Effective risk management requires creation of a risk management plan. This plan describes how the risk management processes should be carried out and how they ﬁ t in with the other project management processes. On a broader level, it describes the relationships among Project Risk Management, general project management, and the management processes in the rest of the organization. To provide the greatest beneﬁ t, initial risk management planning should be carried out early in the overall planning of the project, and the corresponding risk management activities integrated into the overall project management plan. The risk management plan may subsequently need to be adapted as the needs of the project and its stakeholders become clearer or change. Although the Project Risk Management processes form an integral part of the overall project management plan, a budget in terms of resources, cost, and time for the speciﬁ c risk management activities should be established in order to better track, control, and, as necessary, defend the corresponding expenditures throughout the project. The cost of treating the risks themselves should be included appropriately in the project budget, while the risk management plan should describe how this part of the project budget is evaluated, allocated, and managed. The risk management plan will deﬁ ne the monitoring methods to ensure that the corresponding expenditures are tracked appropriately, as well as the conditions under which the approved budget for risk management can be modiﬁ ed. In the same way that project management is a process of progressive elaboration, risk management activities need to be repeated throughout the project. The risk management plan should deﬁ ne both the normal frequency for repeating the processes as well as speciﬁ c or exceptional conditions under which the corresponding actions should be initiated. The corresponding risk management activities should be integrated into the project management plan. There are two categories of success criteria for risk management: those for success of the project in general, and those for success of Project Risk Management.204CHAPTER 4 − PLAN RISK MANAGEMENT • Project-Related Criteria. To assess the success of Project Risk Management, the stakeholders must agree on an acceptable level of results for the project-related criteria (such as cost, time, and scope). In order to ensure consistency and agreement among stakeholders, the risk management plan should present these objectives with reference to the project deﬁ nition documents. To provide guidance in risk management, particularly in prioritizing risk responses, stakeholders should also prioritize each project objective. • Process-Related Criteria. The measures for success in Project Risk Management depend on a number of factors, such as the inherent level of uncertainty of the project. For example, the Project Risk Management process for a research project needs to address more unforeseen changes than for a project with a more predictable environment. A research Project Risk Management process may be considered a success even if it results in more variance from the baseline than would be allowable for a successful process in a more predictable project. The level of risk that is considered acceptable in a project depends on the risk attitudes of the relevant stakeholders. The risk attitudes of both the organization and the stakeholders may be inﬂ uenced by a number of factors, all of which need to be identiﬁ ed. These include their inherent tolerance for uncertainty, and the relative importance to them of achieving or missing speciﬁ c project objectives. The output of this analysis should then be taken into account for setting thresholds and providing weighting factors when applying the Project Risk Management processes in the speciﬁ c project. Guidelines and rules for escalating risk-related information to management and other stakeholders should reﬂ ect the risk attitudes and expectations of the corresponding stakeholders. The project manager should maintain effective communication with the stakeholders as the project evolves, in order to become aware of any changes in the stakeholders’ attitudes and adapt the risk management approach to take any new facts into account. It is important that the participants share a common understanding of all terms used to describe the risks, and that the critical values and thresholds that will serve as parameters for the tools should be deﬁ ned in a manner consistent with the scope of the project and the attitudes of the stakeholders. If qualitative analysis uses such terms as “high impact” or “medium probability,” these should be deﬁ ned objectively in the risk management plan. Similarly, the risk management plan should specify any key numerical values required in quantitative analysis or for decision-making in risk response planning or risk monitoring and control. Risk management planning should establish the type and level of risk detail to be addressed and provide a template of the risk register that will be used for recording risk-related information. The risk management plan should also indicate the intensity of effort and the frequency with which the various Project Risk Management processes should be applied; this depends on the characteristics of the project as well as on the speciﬁ ed risk management objectives. In order for the Project Risk Management processes to be carried out correctly and effectively, the project team and other stakeholders need to know where and when they will be expected to participate, their criteria for determining success, their level of authority, and what action to take relative to actions or decisions beyond this level. The risk management plan speciﬁ es the project’s risk management roles and responsibilities and deﬁ nes the corresponding expectations for both senior management and project personnel.214 CHAPTER 4 − PLAN RISK MANAGEMENT Risk-related communication occurs at two levels: (a) within the project team, and (b) between the project team and the other project stakeholders. The principles for each of these categories of communication are deﬁ ned in the risk management plan. For the team, the plan describes the frequency and scope of the various risk management meetings and reports required to carry out the corresponding Project Risk Management processes as well as the structure and content of such meetings and reports. For the other stakeholders, the plan sets their expectations as to the structure, content, and frequency of routine documents to be received as well as the way in which information will be shared for escalation or exceptional events. Details of the information required by the project team from stakeholders should also be clearly deﬁ ned. 4.2 Critical Success Factors for the Plan Risk Management Process']",[]
17,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.2 ,4.2 Critical Success Factors for the Plan Risk Management Process,"['4.2 Critical Success Factors for the Plan Risk Management Process The principal criteria for a valid risk management plan are acceptance by the stakeholders, alignment with the internal and external constraints on the project, balance between cost or effort and beneﬁ t, and completeness with respect to the needs of the Project Risk Management process. Critical success factors for the Plan Risk Management process are detailed below. 4.2.1 Identify and Address Barriers to Successful Project Risk Management']",[]
18,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.2.1,4.2.1 Identify and Address Barriers to Successful Project Risk Management,"['4.2.1 Identify and Address Barriers to Successful Project Risk Management The time and effort required to carry out the Plan Risk Management process will not be supported unless the stakeholders, and especially management in the organization responsible for the project, recognize and accept the beneﬁ ts of managing risk, and the added value of addressing this as a skill in its own right rather than as a passive or reactive component of general project management. A clear deﬁ nition of the project objectives and a high-level view of the project environment and solution approach are required to provide a valid basis for risk management. The project manager should therefore ensure that valid deﬁ nition and planning information is available for the plan risk management activity. An organization inexperienced in risk management planning may need to develop its own approach and may expend an inappropriate amount of time and effort on this. Alternatively it may use a proprietary or pre-existing approach which requires tailoring. The availability of some or all of the following organizational process assets contributes to the chances of success of the Plan Risk Management activities: standard templates, predeﬁ ned risk categories, and an established project management methodology incorporating risk management procedures that specify what risk information is required for decision making, when it is required, and a deﬁ nition of concepts and terms, roles, responsibilities, and authority levels. Access to relevant lessons learned at this stage will allow this experience to be taken into account from the start of the project. The risk management plan will not deliver its value unless Project Risk Management is carried out as an integral part of the project. The corresponding activities should be built into the project work breakdown structure and included in the corresponding schedule, budget, and work-assignment documents.224 CHAPTER 4 − PLAN RISK MANAGEMENT 4.2.2 Involve Project Stakeholders in Project Risk Management']",[]
19,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.2.2,4.2.2 Involve Project Stakeholders in Project Risk Management,"['4.2.2 Involve Project Stakeholders in Project Risk Management The project manager needs to involve the project stakeholders in the Plan Risk Management activities to build on their skills and experience as well as to ensure their understanding of, and commitment to, the full Project Risk Management process. The provision for risk management resources speciﬁ ed within the risk management plan should be approved by management at a level adequate for carrying out the required Project Risk Management processes in accordance with agreed-upon objectives. Management should be involved in the analysis of the level of resourcing required for managing project risk and accept the risks that may arise from speciﬁ c limitations placed on the provision of resources. Disagreements between stakeholders in the areas of risk tolerance and evaluation measures should be addressed and resolved. 4.2.3 Comply with the Organization’s Objectives, Policies, and Practices']",[]
20,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.2.3,"4.2.3 Comply with the Organization’s Objectives, Policies, and Practices","['4.2.3 Comply with the Organization’s Objectives, Policies, and Practices The feasibility of risk management planning is dependent upon the features of the organization in which it is carried out. The rules and guidelines deﬁ ned in the risk management plan should be compatible with the culture of the organization, its capabilities from the point of view of people and facilities, and its values, goals, and objectives. Project management in general, and risk management in particular, contribute to the organization’s effective governance. The risk management plan should identify and take into account the relevant organizational procedures and any other enterprise environmental factors that apply such as strategic risk management or corporate governance processes. 4.3 Tools and Techniques for the Plan Risk Management Process']",[]
21,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3 ,4.3 Tools and Techniques for the Plan Risk Management Process,['4.3 Tools and Techniques for the Plan Risk Management Process 4.3.1 Planning Sessions'],[]
