,numChapter,Chapter,numSubChapter,subChapter,Type,numSubTitle,subTitle,content,Ref
17,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.3 Data analysis,11.2.2,"11.2.2.3 DATA ANALY SIS
Data analysis techniques that can be used for this process include but are not limited to:
uuRoot cause analysis. Root cause analysis (see Section 8.2.2.2) is typically used to discover the underlying 
causes that lead to a problem, and develop preventive action. It can be used to identify threats by starting with a problem statement (for example, the project might be delayed or over budget) and exploring which threats might result in that problem occurring. The same technique can be used to ﬁnd opportunities by starting with a beneﬁt statement (for example, early delivery or under budget) and exploring which opportunities might result in that beneﬁt being realized.
uuAssumption and constraint analysis. Every project and its project management plan are conceived and developed based on a set of assumptions and within a series of constraints. These are often already incorporated in the scope baseline and project estimates. Assumption and constraint analysis explores the validity of assumptions and constraints to determine which pose a risk to the project. Threats may be identiﬁed from the inaccuracy, instability, inconsistency, or incompleteness of assumptions. Constraints may give rise to opportunities through removing or relaxing a limiting factor that affects the execution of a project or process.
uuSWOT analysis. This technique examines the project from each of the strengths, weaknesses, opportunities, and threats (SWOT) perspectives. For risk identiﬁcation, it is used to increase the breadth of identiﬁed risks by including internally generated risks. The technique starts with the identiﬁcation of strengths and weaknesses of the organization, focusing on either the project, organization, or the business area in general. SWOT analysis then identiﬁes any opportunities for the project that may arise from strengths, and any threats resulting from weaknesses. The analysis also examines the degree to which organizational strengths may offset threats and determines if weaknesses might hinder opportunities.
uuDocument analysis. Described in Section 5.2.2.3. Risks may be identiﬁed from a structured review of project documents, including, but not limited to, plans, assumptions, constraints, previous project ﬁles, contracts, agreements, and technical documentation. Uncertainty or ambiguity in project documents, as well as inconsistencies within a document or between different documents, may be indicators of risk on the project.416 Part 1 - Guide11.2.2.4","['Section 8.2.2.2)', 'Section 5.2.2.3.']"
18,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.4 Interpersonal and team skills,11.2.2,"11.2.2.4 INT ERPERSONAL  AND TEAM S KILLS
Interpersonal and team skills that can be used for this process includes but are not limited to facilitation (see Section 
4.1.2.3). Facilitation improves the effectiveness of many of the techniques used to identify individual project risks and 
sources of overall project risk. A skilled facilitator can help participants remain focused on the risk identiﬁcation task, follow the method associated with the technique accurately, ensure clear risk descriptions, identify and overcome sources of bias, and resolve any disagreements that may arise.
11.2.2.5",[]
19,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.5 Prompt lists,11.2.2,"11.2.2.5 PROMPT L ISTS
A prompt list is a predetermined list of risk categories that might give rise to individual project risks and that could also 
act as sources of overall project risk. The prompt list can be used as a framework to aid the project team in idea generation 
when using risk identiﬁcation techniques. The risk categories in the lowest level of the risk breakdown structure can be used as a prompt list for individual project risks. Some common strategic frameworks are more suitable for identifying sources of overall project risk, for example PESTLE (political, economic, social, technological, legal, environmental), TECOP (technical, environmental, commercial, operational, political), or VUCA (volatility, uncertainty, complexity, ambiguity).
11.2.2.6",[]
20,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.6 Meetings,11.2.2,"11.2.2.6 MEETIN GS
To undertake risk identiﬁcation, the project team may conduct a specialized meeting (often called a risk workshop). 
Most risk workshops include some form of brainstorming (see Section 4.1.2.2), but other risk identiﬁcation techniques 
may be included depending on the level of the risk process deﬁned in the risk management plan. Use of a skilled facilitator will increase the effectiveness of the meeting. It is also essential to ensure that the right people participate in the risk workshop. On larger projects, it may be appropriate to invite the project sponsor, subject matter experts, sellers, representatives of the customer, or other project stakeholders. Risk workshops for smaller projects may be restricted to a subset of the project team.41711.2.3 IDENTIFY RISKS: OUTPUTS
11.2.3.1",['Section 4.1.2.2)']
21,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.1 Risk register,11.2.3,"11.2.3.1 RISK RE GISTER
The risk register captures details of identiﬁed individual project risks. The results of Perform Qualitative Risk Analysis, 
Plan Risk Responses, Implement Risk Responses, and Monitor Risks are recorded in the risk register as those processes 
are conducted throughout the project. The risk register may contain limited or extensive risk information depending on project variables such as size and complexity.
On completion of the Identify Risks process, the content of the risk register may include but is not limited to:
uuList of identified risks. Each individual project risk is given a unique identiﬁer in the risk register. Identiﬁed risks are described in as much detail as required to ensure unambiguous understanding. A structured risk statement may be used to distinguish risks from their cause(s) and their effect(s).
uuPotential risk owners. Where a potential risk owner has been identiﬁed during the Identify Risks process, the risk owner is recorded in the risk register. This will be conﬁrmed during the Perform Qualitative Risk Analysis process.
uuList of potential risk responses. Where a potential risk response has been identiﬁed during the Identify Risks process, it is recorded in the risk register. This will be conﬁrmed during the Plan Risk Responses process.
Additional data may be recorded for each identiﬁed risk, depending on the risk register format speciﬁed in the risk 
management plan. This may include: a short risk title, risk category, current risk status, one or more causes, one or more effects on objectives, risk triggers (events or conditions that indicate that a risk is about to occur), WBS reference of affected activities, and timing information (when was the risk identiﬁed, when might the risk occur, when might it no longer be relevant, and what is the deadline for taking action).418 Part 1 - Guide11.2.3.2",[]
22,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.2 Risk report,11.2.3,"11.2.3.2 RISK REP ORT
The risk report presents information on sources of overall project risk, together with summary information on identiﬁed 
individual project risks. The risk report is developed progressively throughout the Project Risk Management process. The 
results of Perform Qualitative Risk Analysis, Perform Quantitative Risk Analysis, Plan Risk Responses, Implement Risk Responses, and Monitor Risks are also included in the risk report as those processes are completed. On completion of the Identify Risks process, information in the risk report may include but is not limited to:
uuSources of overall project risk, indicating which are the most important drivers of overall project risk exposure; and
uuSummary information on identiﬁed individual project risks, such as number of identiﬁed threats and opportunities, distribution of risks across risk categories, metrics and trends, etc.
Additional information may be included in the risk report, depending on the reporting requirements speciﬁed in the 
risk management plan.
11.2.3.3",[]
23,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.3 Project documents updates,11.2.3,"11.2.3.3 PROJECT DOCUM ENTS UPDA TES
Project documents that may be updated as a result of this process include but are not limited to:
uuAssumption log. Described in Section 4.1.3.2. During the Identify Risks process, new assumptions may be 
made, new constraints may be identiﬁed, and existing assumptions or constraints may be revisited and changed. The assumption log should be updated with this new information.
uuIssue log. Described in Section 4.3.3.3. The issue log should be updated to capture any new issues uncovered or changes in currently logged issues.
uuLessons learned register. Described in Section 4.4.3.1. The lessons learned register can be updated with information on techniques that were effective in identifying risks to improve performance in later phases or other projects.421Perform Qualitative Risk Analysis establishes the relative priorities of individual project risks for Plan Risk Responses. 
It identiﬁes a risk owner for each risk who will take responsibility for planning an appropriate risk response and ensuring 
that it is implemented. Perform Qualitative Risk Analysis also lays the foundation for Perform Quantitative Risk Analysis if this process is required.
The Perform Qualitative Risk Analysis process is performed regularly throughout the project life cycle, as deﬁned in 
the risk management plan. Often, in an agile development environment, the Perform Qualitative Risk Analysis process is conducted before the start of each iteration.
11.3.1 PERF ORM  QUALIT ATIVE RISK A NALY SIS: INPU TS
11.3.1.1","['Section 4.1.3.2.', 'Section 4.3.3.3.', 'Section 4.4.3.1.']"
24,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.1 Project management plan,11.3.1,"11.3.1.1 PROJECT MANAGEM ENT PLAN
Described in Section 4.2.3.1. Project management plan components include the risk management plan as 
described in Section 11.1.3.1. Of particular interest in this process are the roles and responsibilities for conducting risk management, budgets for risk management, schedule activities for risk management, risk categories (often deﬁned in a risk breakdown structure), deﬁnitions of probability and impact, the probability and impact matrix, and stakeholders’ risk thresholds. These inputs are usually tailored to the project during the Plan Risk Management process. If they are not available, they may be developed during the Perform Qualitative Risk Analysis process and presented to the project sponsor for approval before use.
11.3.1.2","['Section 4.2.3.1.', 'Section 11.1.3.1']"
25,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.2 Project documents,11.3.1,"11.3.1.2 PROJECT DOCUM ENTS
Project documents that can be considered as inputs for this process include but are not limited to:
uuAssumption log. Described in Section 4.1.3.2. The assumption log is used for identifying, managing, and 
monitoring key assumptions and constraints that may affect the project. These may inform the assessment of the priority of individual project risks.
uuRisk register. Described in Section 11.2.3.1. The risk register contains details of each identiﬁed individual project risk that will be assessed during the Perform Qualitative Risk Analysis process.
uuStakeholder register. Described in Section 13.1.3.1. This includes details of project stakeholders who may be nominated as risk owners.422 Part 1 - Guide11.3.1.3","['Section 4.1.3.2.', 'Section 11.2.3.1', 'Section 13.1.3.1']"
26,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.3 Enterprise environmental factors,11.3.1,"11.3.1.3 ENTERPR ISE ENVIRONM ENTAL  FACTORS
The enterprise environmental factors that can inﬂuence Perform Qualitative Risk Analysis include but are not limited to:
uuIndustry studies of similar projects, and
uuPublished material, including commercial risk databases or checklists.
11.3.1.4",[]
27,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.4 Organizational process assets,11.3.1,"11.3.1.4 ORGANIZATIONAL  PROCE SS ASSE TS
The organizational process assets that can inﬂuence Perform Qualitative Risk Analysis include but are not limited to 
information from similar completed projects.
11.3.2 PERF ORM  QUALIT ATIVE RISK A NALY SIS: TOO LS AND TEC HNIQUES
11.3.2.1",[]
28,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.1 Expert judgment,11.3.2,"11.3.2.1 EXPER T JUDGMENT
Described in Section 4.1.2.1. Expertise should be considered from individuals or groups with specialized knowledge 
or training in the following topics:
uuPrevious similar projects, and
uuQualitative risk analysis.
Expert judgment is often obtained through facilitated risk workshops or interviews. The possibility of expert views 
being biased should be taken into account in this process.
11.3.2.2",['Section 4.1.2.1.']
29,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.2 Data gathering,11.3.2,"11.3.2.2 DATA GA THERING
Data-ga thering techniques that can be used for this process include but are not limited to interviews. Structured or 
semi-structured interviews (Section 5.2.2.2) can be used to assess the probability and impacts of individual project risks, 
as well as other factors. The interviewer should promote an environment of trust and conﬁdentiality in the interview setting to encourage honest and unbiased assessments.42311.3.2.3",['Section 5.2.2.2)']
